Genre,Artist,Song,Lyric
Metal,Acid King,One Ninety-Six,"
"
Metal,Acid King,Outro,"
Joey Osbourne â Drums
Lori S. â Guitars, Vocals
Mark Lamb â Bass


"
Metal,Azure Emote,Puppet Deities,"We absorb, swallow and deny! Oppressors masquerade â overlords of deception. Shadows of mortality, buried but striving to breathe. Emptiness infecting me. Forced to survive, yet yearning to be free! Strike back! This Kingdom shall fall! Held down! Forced to see, this mask of corruption, 

the strings of your puppet deities!

Mike Heller â Drums
Mike Hrubovcak â Vocals, Lyrics, Electronics, Programming, Samples, Keyboards, Harmonica
Ryan Moll â Guitars




"
Metal,Melvins,Underground,"
"
Metal,Melvins,I M Dry,"
"
Metal,Damnation,The Rulling Truth,"To know to dare
To have the courage to want
And to want to receive
And to reign - must keep silent

[lead: LES]
[lead: BART]

[repeat verse]

[lead: BART]
[lead: LES]

"
Metal,Zeraphine,Still,"Die flammen sind von weitem nicht zu sehen
Doch es brennt am mittelpunkt
Der abgrund, den du nie erwartet hast
Wie oft hab ich versucht, es zu verstehen
Es gelang mir bis heute nicht doch ich lass dich nicht einfach los

Du hast viel zu lang gewartet, dich viel zu oft verletzt
Du hast viel zu viel vertraut, es wird nichts mehr sein
Wie es war

Es ist still, von hier bis zum rand der welt,
So still, die trÃ¤ume sind auch verstummt
Es gibt einfach nichts mehr
Auf das ich noch hÃ¶ren kÃ¶nnte, nichts mehr
Wenn dein herz nicht mehr in mir schlÃ¤gt

FÃ¼r alles gab es stets eine erklÃ¤rung
Doch du warst zu leicht durchschaubar
LÃ¼gen hatten niemals platz in dir
Wie oft hast du versucht, es zu verstehen
Es gelang dir irgendwann, doch es blieb versunken in dir

Du hast viel zu lang gewartet, dich viel zu oft verletzt, du hast viel zu viel vertraut
Es wird nichts mehr sein, wie es war

"
Metal,Acrid Semblance,Hour Glass Misery,"[Lyrics: Anubhav, Music:Vikas,Anubhav]

I am here in this cradle of my misery
Lying beyond the all ecstasy
My words betray my sorrow
To search this tunnel till its hollow

[Chorus:]
What do we see?
(pain)
What do we do?
(run)
Where do we go?
Where do we go?

Run now, you must dieâ¦
Lye down, Must face the skyâ¦
Hour Glass is running high
It's your Hour Glass Misery

Fight Now, before its comes down,
Hide far, before it figures you outâ¦

[Chorus:]
What do we see?
(pain)
What do we do?
(run)
Where do we go?
Where do we go?

Here you areâ¦
Inside your very ownâ¦
Cage
Made by your very ownâ¦
Ghouls

Now run, where can you go

"
Metal,Zao,The Latter Rain,"A ring of haze encircles the unshrouded truth within 
Another seal is broken as the heavens prepare 
To break forth in fulfillment 

A blanket of deception is layered on sacred writings 
Which contain the thoughts of the One who is Almighty God 

A sword unsheathed is drawn bringing legions of demons to their knees 
By the covenant prepared before the earth itself still 
So many choose to warm themselves beneath deception 

A ring of haze encircles the unshrouded truth within 
Another seal is broken as the heavens prepare 
To break forth in fulfillment 
A blanket of deception is layered on sacred writings 
Which contain the thoughts of the One who is Almighty God 
A sword is drawn, unsheathed bringing legions of demons to their knees 
By the knowledge of a covenant prepared before the earth itself 
Still so many choose to warm themselves beneath deception 

As the end draws near and history closes 
I pray that the winds and the rain of that which is latter 
Will bring clarity and understanding to Your infallible Word 
Let the lack of knowledge that destroys us be lifted in Your name 
Off [8x]

"
Metal,Meliah Rage,In Hate,"I'd rather twist my mind, rip your world apart
Leave you to wonder, am I hiding in the dark

GIVE MY LIFE AWAY / AGONIZING DEATH
HOPELESSLY PERVERSE DECAY
ADORING BLAME / ENTICING SAINTS
SHROUDED IN FLAMES FOREVER
IN HATE WITH YOU

Every waking moment, I desire hurting you
Insatiable hunger, blood, soul, will of you

GIVE MY LIFE AWAY / AGONIZING DEATH
HOPELESSLY PERVERSE DECAY
ADORING BLAME / ENTICING SAINTS
SHROUDED IN FLAMES FOREVER
IN HATE WITH YOU

Anger bleeds my soul away
All that's left of me embraced
Hollow man, empty, torn
Sweet hopeless blame

Like silence after question
Mad laughter, only friend
What remains after judgment
This anguish never ends



"
Metal,Zero Hour,Intrinsic,"


"
Metal,Zandelle,A Hero S Quest,"I've journey for so long to fulfill my quest
Surrounded by danger I'm put to the test
Through darkness and fire been tempted by sin
Just sit back and listen as my tale begins

The winter cold cut through me as I traveled through the night
A lost soul in the darkness to find the holy light
When suddenly from nowhere a sight befell my eyes
What was it that I saw there I did not realize

A demon from the pit of hell I must fight to survive
The Quest goes on

That was just the beginning more challenges ahead
The next one that I faced was a goddess in her bed
Her beauty was astounding seduction in her eyes
But underneath that beauty her evil secret lies

Had I not beat the succubus I surely would have died
The Quest goes on

[lead: Durfy]

Oh, oh, oh, oh, oh

[solo1: Maglio / solo2: Durfy]

[solo: Durfy]

I felt like I would never locate that which I sought
My trek felt like forever though valiantly I fought
When finally the day came where right before these eyes
I found what I've been seeking my ever treasured prize

Little did I know back then that it was just a lie
The Quest goes on

[solo: Maglio]

And so ends my story my quest has yet to end
Continue on my journey the road my only friend
So now I take my leave and I will be on my way
In hopes that I will complete my quest some other day

"
Metal,Acid Witch,Worship The Worm,"Buried in your narrow house, six feet under.
""Rest In Peace,"" the mourners'' heartfelt wish.
But there is no ""god"" above you, only the worms below
And when your casket rots, they squirm forth â¦

Upon your putrefacted flesh the worms do feast.
Creeping through your brains, they eat your spent hopes.
Crawling through your heart, they eat your secret loves.
The worms swallow all that you were, and will ever be â¦

[Chorus:]
Worship the Worm as it consumes your ""Eternity,""
Worship the Worm as it conquers your Humanity.



"
Metal,Acid King,Blaze Out,"[Instrumental][performed by Acid King]
Joey Osbourne: drums
Brian Hill: bass (track 3)
Lori S.: guitars, vocals
Guy Pinhas: bass (tracks 1-2, 4)

Thanks to danbarsky53 for sending track #2 lyrics.


"
Metal,Zemial,Riddle,"I was born to the sound of the funeral bell
To the sounds of mourning - when night cast her spell
My path is of solitude - I dwell where all winds blow
I rise with nightfall - Helios my foe

I am the one who stands in whispering halls
On both sides of the mirror - our legacy foretold
I am the silent traveller amongst you as I walk
The stranger at your funerals...
Kpabe meaan kopab
Kpabe kopaka
Kpabe meaan kopab
Kpaze!
I am the shadows that dance across your walls
Looking through your misty windows
As the sun descends and the night falls
I am the unexpected knock upon your door
The howling wind that blows your fire out in winter nights so cold...

I am the silent one who visits when you sleep
The one you talk about that stirs a fear so deep!
I am the sound of footsteps that makes the traveller turn
The one you would like to catch and hope that fire can burn!

"
Metal,Zero Hour,Face The Fear,"Pain still remains, redirect this change, release all the rage, that's in me

Mind screams to me, useless memories, brings me to my knees, no release

Death was only a vision, away, the only direction I knew
A path forever winding down, sanity find me somehow

So here we are to face the fear
Divided minds could never see so clear
Could dreams portray the true side, before the stars surrender to light?

I feel the earth turning beneath my feet
While the clouds seem to spin above my head

So here we are to face the fear
Divided minds could never see so clear
Could dreams portray the true side, before the stars surrender to light?

Pain still remains!

Darkness gathers, strength infecting me
Emptiness controls my every need
Distant memories are all I see
Spirals downward, drowning endlessly

I hold on tightly, I'm so afraid
And to let go would be my last mistake

Close my eyes, deep breaths
Close my eyes, deep breaths

Forever changing the story told, the inner core lost forevermore (forevermore)

Slowing down, I hit the ground to face the fear (that)
The end is near
Close my eyes, reach my demise, nothing left to fear
The end is here
The end is here

Time, time is lost - not mine, the inner changing ride I live
To tell my story lost in time, I'd live again - I'd live again!

Live again!

"
Metal,Dantesco,A Brother Has Fallen,"What are you doing here my son?
It's not your time yet
The gates of Valhalla are open
Awaiting your dawn
But... not... now
Your hall will be ready soon
Come my son and rest

Silent the dead took my breath
I have left my brothers, out of time
Darkness came as a raven
Eats the eyes of a soulless piece of icy flesh... ah

Tears to fill the sea
Were falling from the eyes of my mother
The falcon from inside my chest
Now fly away from her
From the clouds and over the mountains
I can see her crying for me
I will ever be remembered
As a warrior... as a man

For the tears of my mother... vengeance
For the brother I left alone
For the crying of my little sister
For my father and for my soul
For the killer of every sunshine
That my body will feel no more
For the assassin of all the places
Where my spirit will never go
For the wounds that marked the triumph
Of the dead over the lion's roar
The slayer of the last of dragons...
Of the last of the unicorns
May death take your life with patience
And a living torture be your punishment
And your suffering will have no answer
When your painful flesh cries for death

Come... my brother... and rest...

"
Metal,Acid Witch,Witchtanic Hellucinations,"A man possessed
I walk alone
To find the coven
'Neath the sanguine moon
Follow the wisps
And strange gloomy lights
For the cult of Lyseric is meeting tonight
From the drums on skulls comes their chant of Doom
I follow entranced to the ominous tune
I see the smoke rings ascending high
Lost in the woods
I'm fucking high!
Hallucinate through the forest's threat
And come upon this black witchcraft
Pentagram unbroken
The circle now complete
They beckon me to join their ritual Hasheesh

Enchanted with spells
By the crone's drone song
I inhale the evil of the witchcraft bong

Weed witch
Weed witch

Witchtanic Hellucinations
Witchtanic Hellucinations

12 are here you'll be the 13th
I sit at the fire
Smell the cauldron's dank reek
Into the boil a boney finger is dipped
And unto my tongue the acid is dripped

Witchtanic Hellucinations
Witchtanic Hellucinations

"
Metal,Meliah Rage,In Hate,"I'd rather twist my mind, rip your world apart
Leave you to wonder, am I hiding in the dark

GIVE MY LIFE AWAY / AGONIZING DEATH
HOPELESSLY PERVERSE DECAY
ADORING BLAME / ENTICING SAINTS
SHROUDED IN FLAMES FOREVER
IN HATE WITH YOU

Every waking moment, I desire hurting you
Insatiable hunger, blood, soul, will of you

GIVE MY LIFE AWAY / AGONIZING DEATH
HOPELESSLY PERVERSE DECAY
ADORING BLAME / ENTICING SAINTS
SHROUDED IN FLAMES FOREVER
IN HATE WITH YOU

Anger bleeds my soul away
All that's left of me embraced
Hollow man, empty, torn
Sweet hopeless blame

Like silence after question
Mad laughter, only friend
What remains after judgment
This anguish never ends



"
Metal,Melancholy Pessimism,Melancholy Pessimism,"Without money, without love

Alone for every annoying yourself

You have tryied to reach something up.

Melancholy pessimism.

It's a long, long suffering for you

You wanted many times - to end your life

However you've never done it, ever.

You're just a cower who(ve never reached

anything, ever.

You are running, you are decided

To die anyway, life is just a pain.

You don't wanna suffer yourself anymore

The only what you got in your head is a suicide

Melancholy pessimism.

Your neck is clenching.

You're pulling up or sleeve

It take just a second

Jugulating your veins

Falling into agony

Can't feel your dripping blood

You will never live through it

what is a depressive feeling

Melancholy pessimism.

"
Metal,Zero Cipher,Rhatakavita,"
"
Metal,Damnation,Invisible Force,"[Instrumental]
"
Metal,Mekong Delta,Shadow Walker,"[R. Hubert, R. Hubert]

He was thinking it out
and started writing it down
the crazy thoughts in his head
He was on a roll
to find his self control
but it was taking it's toll
instead
Meanwhile outside
as the normal crowd
did their daily thing
they were caught in a swing
when they looked at their leaders
they were full of doubt
He couldn't figure them out 
It was a journey down
into his deepest dreams
against the normal streams
wasn't totally clear
But he knew it was here
what he was trying to be
Yeah
And outside his door
was the camera light
that devouered the night
what a terrible sight
it was spilling grace
and wisdom over the crowd
made them feel so proud 
Walking - a member of the crowd
Talking - chit-chat without a doubt
Feeling - cancelled from the normal life
Living - on the shadow side 
Out of the dark - I will dive into the light
I will - gonna rise up from the crowd
I will - be a star in TV land
That's right - be a hero for a day
I will - gonna fill the headline news
Yes me - with the things that I will do
Solution - for their senseless talk
I will - be a star in TV land 
~Shadow Walker~
Silent dreamings, silent dreamings 
and with a final thought
of his new glory he sought
he felt the time drawing near
So when he started to dress
he knew he wanted his best
took a look what he had
in here
When everything was in place
he finally put on his face
a last and lovely smile
keep it on for a while
Then he started to stroke
the pistol's cold black cheek
it was shiny and sleek 
Walking - a member of the crowd
Talking - chit-chat without a doubt
Feeling - cancelled from the normal life
Living - on the shadow side 
Out of the dark - I will dive into the light
I will - gonna rise up from the crowd
I will - be a star in TV land
That's right - be a hero for a day
I will - gonna fill the headline news
Yes me - with the things that I will do
Solution - for their senseless talk
I will - be a star in TV land 
So he shot at the light
paralizing the night
with the ordiance of might
it was over so fast
he walked out of the shadows
and then into the past
oh yeah
Then it hit him so hard
like a fallen star
and left a permanent scare
this is what you are
He'd become one of those
that he hated the most
ruling a mindless crowd 
Walking - a member of the crowd
Talking - chit-chat without a doubt
Feeling - cancelled from the normal life
Living - on the shadow side 
Out of the dark - I will dive into the light
I will - gonna rise up from the crowd
I will - be a star in TV land
That's right - be a hero for a day
I will - gonna fill the headline news
Yes me - with the things that I will do
Solution - for their senseless talk
I will - be a star in TV land 
~Shadow Walker~

"
Metal,Damnation Plan,Edge Of Machinery,"no one to hide from
nothing left to live for
not far from now
our souls will be forced to resignate
living off the radar
living off the radar of machinery
there'll be no savior
for the ones standing in line
it was supposed to be forever
there was nothing we could not hide
not a thing to last forever
our lives are fading away
in between the lies and hatred
they took our rights to pave their ways
no one has witnessed with their eyes
this hidden betrayal in disguise
no one to save us now
no one who stands by our side
as it finally came to our realization
came all too late to tear it down
too late to tear it down
too late to turn it down
late to tear it down -
too late to turn it down
no salvation for standing in line
too late to wait forever
your fates will be decided for you
not a thing will live forever
even this empire will fall
right now!
no salvation for standing in line

"
Metal,Dantesco,Ataca La Bestia,"De los dilemas de la vida
Cuando ataca la pasion
A un alma incomprendida
Y ya no resiste el corazon

Puedas arder
Y vas a explotar

En el interior guardas la llama
Donde la bestia despertara
Podrias matar incluso a quien
Amas
Para arrepentirte...jamas!

Cegado tu ser
Un alma infernal

Desperto la bestia
Hora de matar
Esa furia interna
Hay que alimentar
Ataca la bestia
No tendra piedad
Convertira en presa
A su sociedad

Esta en mi no lo resisto
Sangre, de sangre un caudal
Yo sere la cruz, tu seras cristo
Tu dolor me saciara

"
Metal,Meliah Rage,Death Valley Dream,"I'm wide awake I can't be dreaming
Still disbelieving what I see
I hear a distant voice is screaming
I know that voice belongs to me

And I wonder as I fight will I die tonight?

This is a nightmare from out of nowhere
This is a nightmare from out of nowhere
Death Valley Dream

My life unfolds before my eyes
As I lie broken and alone
I feel my soul begin to slowly rise
Leave behind blood and broken bones

And I wonder as I fight will I die tonight?

This is a nightmare from out of nowhere
This is a nightmare from out of nowhere
Death Valley Dream

My spirit soaring through the desert sky
I watch the scene unfold below
I know it's not yet time to die say goodbye
How I cheated death I'll never know

And I know because I fight I will not die tonight

This is a nightmare from out of nowhere
This is a nightmare from out of nowhere
Death Valley Dream

"
Metal,Zandelle,Queen Witch,"The witch casts her spell
Fire in her eyes reveals her evil
A spawn out of hell, she is in league with the devil
She torments all
Her evil laugh echoes through the dark of night
She'll make you crawl
And then you will feel her satanic might
One look she'll try to take your soul
Spreading her hate is her goal
Now she's out of control
Evil heart, her soul as black as coal

The time to strike has come
The witch must die before she kills us all
We must not run
We'll face her now be it stand or fall
We must be wrong
To show her weakness would bring us all doom
Suffered for too long
The time for vengeance will be upon us soon
One look she'll try to take your soul
Spreading her hate is her goal
Now she's out of control
Evil heart, her soul as black as coal

[Solo: Tsalikis]

Make your final stand
With a battle cry you charge to fight the witch
With your sword in hand
Rush in to slice apart the evil bitch
In a flash she's gone
You look around to find where she'll appear
Too late, she's won
Your life fades away as you are filled with fear
One look she'll try to take your soul
Spreading her hate is her goal
Now she's out of control
Evil heart, her soul as black as coal

"
Metal,Acranius,Return To Violence,"You bite the hand that feeds you
It's all old habit
That you can't break again and again 
You can never stop
It's always wrapped around your neck

Since day one we have been good friends
And we got through times most friendships can't stand
But now I've changed

[2x]
You're on the ground
Fortune

Side by side
That's how we slay forever
And in the old and in the coming days
Breaking the promise
I gave to myself
Craving behind my family and my friends

[2x]
You're on the ground
Fortune

Together we're bending peace
Like no one else

Together we're playing games on life itself
All I want is staying true [2x]
Easily stand the fight with my own hands

Behind our backs
The body get piled
The bodies get piled
In our front these fucks get fire

"
Metal,Zombie Inc,A Dreadful Decease,"There are only orphaned Houses left.
Wait in the Bite of Sickness.
Fear devours the Smell of Death.
And silent Whispers hold the Dust.

Scissors... rammed... Throat.
Gargling... gasping, Blood is spraying

Tearing out the Organs, pulling out the Hearts.
Burn at the Stake, Cannibal.

Scissors... rammed... Throat.
Gargling... gasping, Blood is spraying.
Zombie... Carnivore... Devoured Flesh.
Rotting... Bodies... Rising from Death.

Severed Limbs and mangled Fingers.
This is the Torture it becomes me!
Scratched Eyes, pricked out Organs.
And skewered Guts, it becomes me!

The final Torture.

The final Breath has now been taken.
Slowly your Body turns cold.

Zombie!

"
Metal,Acrid Semblance,Genesis,"On our road we move into existence
We move towards extinction
Corroding every day, day by day
Living our sadistic life this day

Genesis, is all I need
Let's start off again
There is no other way for you
Genesis, just die again
Kill what all ever did exist
There is no other way for you

What use this lifeless lump?
What use thy open casket?
As we fight against the will
Of the one that still controls

Genesis, is all I need
Let's start off again
There is no other way for you
Genesis, just die again
Kill what all ever did exist
There is no other way for you

[Solo: Kshitish]
[Solo: Anubhav]

Die! You Now!
You lived, this life too long!
Die just now,
You've seen this treachery through your eyes!
Die, you die
Cause You! Have lived for long
Die! You've seen, this treachery, through your eyes!

End now is still too far
Beginnings are too off shore
My past haunts me still
Do I need the end once more?

Genesis, is all I need
Let's start off again
There is no other way for you
Genesis, just die again
Kill what all ever did exist
There is no other way for you

"
Metal,Zero Cipher,Chapter Two Princess Capture,"
"
Metal,Zao,Live,"Live from the funeral of God, this is the day you've awaited, sponsored and celebrated, he has answered your prayers, corpses have
piled up with your riches, they have spilled over onto the earth, we spit and wear our fear like masks, everything is locked into a
form, (interrupt the feed), it's closing in... the sky is so dark, are men no worse than demons?  Are armies not thirsty for blood?
The desire of their hearts has been met, eons and eons, decades of liars, drunk with power atop a mountain of corpses, their arms
and legs fail and they crawl like serpants, to address those who are mourning, live from the funeral of God, there is no reason to
be afraid, everything is under control, we shall miss him

"
Metal,Damnation,The Land Of Degradation,"The last battle, the god's fall
Colliding legions of hate, all against all
Carried away by possessed wave
Bloody madness

Extermination
No winners

Absurd horror, dying without consciousness
United in fear, massacre in blood
In blasphemous rapture, wasted senses
Apocalypse of merciless rulers

Extermination
No winners

On the edge of times - HATE
Existence died - CALM

[lead: BART]
[lead: LES]
[lead: BART]

Darkness unite in brightness
The next abyss is coming
Crushed faces, fire and torment
The last battle... AGAIN!!!

"
Metal,Zemial,Dragon S Touch (The Eyes Of Fire),"
"
Metal,Melvins,Tipping The Lion,"Follow lead, point to my head
We got Dresden, solid dead
I ain't gonna stand, leaking from my hand
Don't like the front of me on a mand

Be still the messagely
Distending a modern tale
By phone line
Might have seen
On read by rhyme

The violence strike and spare
Seems fortified down square
What is the quality reaching low for side
My tears intendedly bonified

You still motor high
Reach sending a modern tease
Right phone line
High voice tone
Forty lee and four why

"
Metal,Acres,Distant Hills,"If this is what it feels like under my skin
Then I will take your heart again
My dreams have died so very often
But not this time, not this time
I swear I will never ask you again
If you'd only take my hand
When you're a child and you're looking for someone
To fall in love, and fall apart

Don't

Don't go..
Don't go..
Please don't go..
Don't go..
Don't go..




"
Metal,Acid King,Infinite Skies,"Permission to ride

Out of the world

Thru the infinite skies

Bursts of yellow


Bursting with light

To the end of time

Spirits arise

Pray for the blast off


Nothing so high

Can keep us from reach

Thru the infinite skies

Burst of yellow


Bursting with light

To the end of time

Spirits arise

Pray for the blast off


Feel the heat rise

As we enter the burn

Thru the infinite skies

Burst of yellow


Bursting with light

To the end of time

Spirits arise

Pray for the blast off

"
Metal,Damageplan,Explode,"I FEEL YOU STARE
WATCH ME NOT CARE
GLARE AT THE FREAK
YOU'VE NO CONTROL
FEEL YOUR EYES PROBING ME, JUDGEING ME
ONLY MAKES ME WANT TO EXPLODE, JUST EXPLODE

YOU DONT KNOW ME
BUT YOU FEAR ME
TAINTED WITH INK
RIDDLED WITH HOLES
STARING AND POINTING, STUPIDITY
ONLY MAKES ME WANT TO EXPLODE, JUST EXPLODE

STEREOTYPE ME
CATEGORIZE ME
BEHIND MY BACK, BUT I CAN SEE
THE UNCOMFORTABLE SMILE
ONLY HIDES FOR AWHILE
WHAT YOU'RE REALLY FEELING BENEATH

ALL THAT YOU SEE
SCARS THAT MADE ME
SEE IN YOUR EYES
ALL YOU DESPISE
JUDGE ME BY WHAT YOU SEE, LEAVE ME BE
GET AWAY I'M GOING TO EXPLODE, JUST EXPLODE

FEAR WHAT YOU DON'T UNDERSTAND
IT WILL ALWAYS BE 
FEAR WHAT YOU DON'T UNDERSTAND

AS IT ALWAYS WAS
FEAR WHAT YOU DON'T UNDERSTAND
IT WILL ALWAYS BE
FEAR WHAT YOU DON'T UNDERSTAND
I JUST WANT TO EXPLODE

"
Metal,Damnation,Your Pain Is Not For Me,"Leading in a dark embrace
I look to your tormented face
You want to stand in my stead
Your pain is not for me!

You will fall!
Down the cross!
Demise of the crown!
I'm your thorn!

Praise me!
I am first who'll kill your sacrifice
Praise me!
You welcome death with open arms

[Lead: LES]

Blood runs like a rain, to inundate your pain
You are masochist? You're suffering, from my sins

I'm tread upon your flesh
To hear your silence breath
I see you feeble creep
Your pain will never be for me!

You will fall!
Down the cross!
Demise of the crown!
I'm your thorn!

Praise me!
I am first who'll kill your sacrifice
Praise me!
You welcome death with open arms

[Lead: BART]

Praise me!

"
Metal,Melancholy Pessimism,War Against Violence,"All the world is aghast.

Hell on earth is unleashed.

Devil's smoke and flames are everywhere.

Thousands of innocent people inside

the madness,

They try to get away, they run over

each other.

The giant buildings are falling down

and all is buried in the debris and dust.


Happy faces are changed into 

hatred and crying.

Peace and contentmentare turned into

fear of war over the whole wide world.


The attack on democracy unites all

countries and

nations for war against evil.

When negotiations are collapsing

it is the time for revenge.


Violence against violence.

Hate against hate.


We are building the peace

on our evil planet earth

with the help of arms, bombs and anthrax.

"
Metal,Melvins,A Vast Filthy Prison,"Take care of my princess,
Take her cause we live alone.
If you weren't so simple,
I would never come alone.
Raise your hand to heaven,
Now raise the one thats half alive.
You said you'd give a fortune,
If you could have it everynight.
The world is full of evil,
Now which of those are one of you.
Where is my one true angel,
With her golden wings so open.

Some would call it heaven,
Some would call it bravery.
I would call it neither,
I would call it thievery.



"
Metal,Zanister,Lost Control,"I'm a broken man, do the best I can
Just like the water, turns the rocks to sand
I feel so empty, at least I can feel
I can't let it go, of the things I don't know

I felt the fire burning within my soul
I lost my mind and then I lost control

Well is there freedom or is it state of mind
I'm feeling anxious like running out of time
I can't let it go, of the things I don't know

I felt the fire burning within my soul
I lost my mind and then I lost control
I felt the fire burning within my soul
I lost my mind and then I lost control

Well are there answers to why I feel this way
Will they remain questions and that's how they'll say
I can't let it go, of the things I don't know

I felt the tire burning within my soul
I lost my mind and then I lost control
I felt the tire burning within my soul
I lost my mind and then I lost control

"
Metal,Zimmer S Hole,Satan Is A Gay Porno Star,"Meus eleos nov abre eue nov sae'
Il via foder tue cu' tambien
Scupa la u carillio du diablo

Tues eleos nove abre e tu nov sabe's
Mais leues diablo ne tue rabe'
Scupa la u carillio du diablo

Eu no'a poss abrear meu corazoa'
No'a poss abrear para to
No'a a deus no'a a diablo
Eu no'a ocoo u voz du pai
Foostu creado du mal creado
Du merda nasheshed i a merda ades voltar

"
Metal,Damnation Plan,Edge Of Machinery,"no one to hide from
nothing left to live for
not far from now
our souls will be forced to resignate
living off the radar
living off the radar of machinery
there'll be no savior
for the ones standing in line
it was supposed to be forever
there was nothing we could not hide
not a thing to last forever
our lives are fading away
in between the lies and hatred
they took our rights to pave their ways
no one has witnessed with their eyes
this hidden betrayal in disguise
no one to save us now
no one who stands by our side
as it finally came to our realization
came all too late to tear it down
too late to tear it down
too late to turn it down
late to tear it down -
too late to turn it down
no salvation for standing in line
too late to wait forever
your fates will be decided for you
not a thing will live forever
even this empire will fall
right now!
no salvation for standing in line

"
Metal,Melechesh,Doorways To Irkala,"[Instrumental]
"
Metal,Acrassicauda,Garden Of Stones,"The life you reaped
Once had a name
The blood stains your hands
Wrapped in guilt sealed with shame
I grieve for what turns to ashes
And bones and buried beneath the
Garden of stones
When the night is dawn
And the haze ruled the sky
The death marched through the land
I heard the angels cry
I crave what's mine back
All that I have known
Now buried beneath
The garden of stones

"
Metal,Melvins,Pink Bat,"My batteries are low. Please change my Triple A batteries.

Peace sign be a time be a part of the grind.

And If I'm gonna say it with a hole in the bottom what
I want said I really want it in line

even though Dear God She just wanna blend

be a max Take ball of wax of backs until it coming from our hand.

Can I foresee the dimes a cross and the ceiling
thereâs a Boner on the horse you wish I ride.

Now I pulled into line to do see (she?) do pulled by
for a look for a little bit of light
see the boss cause heâs gonna ride my mind
sheâs gone tonight

be enforced with the rack cause sheâs goin to dododo
to the peni for the petal in the eyes.

That is right Mr. Cool
I donât listen to you

motor mouth talking shit when your living up the the
corpse of a body of a simian that is dead
and the crime for eternal

and his soul is hole in my mind that I leave with a
fore and itâs a forehead traction too blue site feel
full and a bullet for the real..

Sheâll get it sail

Look-into to rip your mind out

The big sail
Rip your tail
Weâre driving in an no wind

What you find
what you need

All you wanna do is sit and breed

""A tea bag ha ha ha""

"
Metal,Zero Cipher,Oompa Loompa,"
"
Metal,Melechesh,Tablets Of Fate,"[Music : Ashmedi / Lyrics: Ashmedi]

Lugal - E the cosmic battle
Release the evil winds
Ninutra charges, he is poison
Like a Shem, great and supreme

Anzu, you will be diminished
Witness the wrath of the avenger
Usurper of Durnaki's pride
Kurnugi awaits, you will never hide

The arcane tablets of infinite destinies
Control the Seven dimensions
Reverse the spell, transform to clay
The panel of Fate must return

Two grand masses clash like thunder
A flash of light burns the sky
Beam after beam after beam, gleam
Like a horned serpent stream
The roar of creatures of malice is shrilling and super supreme

Ninutra, like a magma duct
Flowing rage and whirling frenzy
Boiling and full of hate
Spilling spite on the thief of pride
From the ashes of the winged one
The destiny stones must be returned
Behold, the language of the palm is now born

The arcane tablets of infinite destinies
Control the Seven dimensions
Reverse the spell, transform to clay
The panel of fate must return

The ghoul of Anzu. ""be entrapped""
Within the marble citadel
Masked in the mountain of fury stones
Amid Ashur, Babel and Ur

Anzu you are now diminished
Feel the wrath of the avenger
Usurper of Durnaki's pride
Kurnugi's winds you shall ride

Ninutra, like a magma duct
Flowing rage and whirling frenzy
Boiling and full of hate
Spilling spite on the thief of pride

"
Metal,Acidtree,So Sings The Crow,"When you reach Old Weeping Hill
Birds are mute, the land stands still
Children play with candlelight
Elders fear the cursed sight

Through the night, all winter long
One can hear an ancient song
Carried by the northern breeze
Blood and bones and heart would freeze:

""Follow, follow, follow me
Follow to the hanging tree
Raise the black flag, ring the bell
Time has come to say farewell""

""Bring the fire, bring the rope
There's no future, there's no hope
Hang 'em fast and hang 'em high
Time has come for you to die""

Sifting through the hard dried mud
There it feeds on flesh and blood
Bodies swinging to and fro
Death is near, so sings the crow:

""Follow, follow, follow me
Follow to the hanging tree
Raise the black flag, ring the bell
Time has come to say farewell""

""Bring the fire, bring the rope
There's no future, there's no hope
Hang 'em fast and hang 'em high
Time has come for you to die""

"
Metal,Meliah Rage,Retaliation,"Nightfall on the boardwalk
See the beast emerge to stalk and prey
White, black, red or yellow
Doesn't matter pain pays, it pays
Feel death cold as ice
As it tears through your mine, it's mine
Night after night
Fate awaits its final call, hear the cries

Fight to be free or die

To join you must kill
Shed blood rape and steal with steel
Hate rules young minds
Minor means no longer time but prime
Take one out here
Take one out there, who cares ?
Murder runs rapid now
Through the streets of L.A.'s town
But how ?

Fight to be free or die

They walk with me till they die
They give their lives, so I survive
Nothing to lose, I'm running free
I'll take you down if you mess with me

Fight ya, own ya, kill ya

"
Metal,Zanister,Fear No Man,"I believe in the ancient wisdoms
I believe in the ancient texts
I believe that we all will live on
Another life is next
On and on and on we go
I Fear No Man I Fear No Man

I have faced the legions of Rome
I have beat the odds unknown
I have called out for mercy
I have been denied the plea
I Fear No Man I Fear No Man

I have died in battles alone
I have killed to defend my home
I have lived a life of sin
I have been born to live again
I Fear No Man I Fear No Man

I have fought until the death
I have gone past my last breath
Here I stand I passed the test
I'll show you all I'm not like the rest

I have earned high honors before
I have shamed my name no more

I Fear No Man I Fear No Man

I believe in the ancient wisdoms
I believe in the ancient texts
I believe that we all will live on
Another life is next
On and on and on we go
I Fear No Man I Fear No Man

"
Metal,Damnations Hammer,Defiance Lamp  Retribution,"[Instrumental]
"
